GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
NGC0100,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0247,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0289,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0300,B,0.5,Medium,many rotation-curve points; extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0801,A,1.0,Medium,extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0891,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC1003,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC1090,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC1705,C,0.0,Low,large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2366,B,0.5,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2403,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2683,B,0.5,Medium,high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2841,B,0.5,Medium,many rotation-curve points; extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2903,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2915,B,0.5,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2955,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2976,B,0.5,Low,many rotation-curve points; short radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC2998,B,0.5,Medium,high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3109,A,1.0,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3198,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3521,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3726,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3741,B,0.5,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3769,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3877,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3893,B,0.5,Medium,high mean Vobs error; extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3917,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3949,C,0.0,Low,few rotation-curve points; high mean Vobs error; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3953,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3972,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC3992,B,0.5,Medium,extended radial coverage; well-conditioned inclination; weak distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4010,C,0.0,Low,extended radial coverage; face-on or edge-on inclination risk; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4013,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4051,C,0.0,Low,few rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4068,C,0.0,Low,few rotation-curve points; low mean Vobs error; short radial coverage; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4085,C,0.0,Low,few rotation-curve points; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4088,B,0.5,Medium,extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4100,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4138,C,0.0,Low,few rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4157,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4183,B,0.5,Medium,many rotation-curve points; extended radial coverage; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4214,C,0.0,Low,face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4217,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4389,C,0.0,Low,few rotation-curve points; well-conditioned inclination; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC4559,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5005,B,0.5,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; weak distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5033,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5055,A,1.0,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5371,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5585,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5907,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC5985,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6015,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6195,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6503,A,1.0,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6674,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6789,C,0.0,Low,few rotation-curve points; short radial coverage; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC6946,A,1.0,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7331,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7793,B,0.5,Medium,many rotation-curve points; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC7814,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
PGC51017,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00128,B,0.5,Medium,many rotation-curve points; low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00191,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00634,B,0.5,Low,few rotation-curve points; low mean Vobs error; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00731,B,0.5,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC00891,B,0.5,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC01230,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC01281,C,0.0,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02023,C,0.0,Low,few rotation-curve points; high mean Vobs error; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02259,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02455,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02487,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02885,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02916,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC02953,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03205,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03546,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC03580,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04278,B,0.5,Low,many rotation-curve points; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04305,C,0.0,Low,many rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04325,B,0.5,Medium,well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04483,B,0.5,Low,low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC04499,A,1.0,Medium,low mean Vobs error; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05005,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05253,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05414,C,0.0,Low,few rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05716,B,0.5,Medium,low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05721,A,1.0,Medium,many rotation-curve points; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05750,C,0.0,Low,high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05764,C,0.0,Low,low mean Vobs error; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05829,C,0.0,Low,large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05918,B,0.5,Medium,well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05986,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC05999,C,0.0,Low,few rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
UGC06399,B,0.5,Medium,well-conditioned inclination,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
